No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,photographs to print,90500,87,190,$1.92,100,57,https://eastendprints.co.uk/categories/photography
2,photos and prints,90500,61,190,$2.13,100,70,https://eastendprints.co.uk/categories/photography
3,photo and prints,90500,41,190,$1.97,100,72,https://eastendprints.co.uk/categories/photography
4,art,74000,25,177,$0.86,72,89,https://eastendprints.co.uk/
5,frame bedroom,60500,54,127,$2.83,100,61,https://eastendprints.co.uk/categories/bedroom-art-prints
6,art for walls,49500,48,103,$0.63,100,62,https://eastendprints.co.uk/
7,wall artwork,49500,10,2321,$0.62,100,64,https://eastendprints.co.uk/
8,wall art,49500,20,252,$0.63,100,63,https://eastendprints.co.uk/
9,wall with artwork,49500,3,8019,$0.67,100,72,https://eastendprints.co.uk/
10,posters,49500,50,103,$1.05,100,62,https://eastendprints.co.uk/categories/london-art-prints.html
11,wall art for wall,49500,15,371,$0.80,100,56,https://eastendprints.co.uk/
12,bauhaus,33100,23,89,$0.84,27,76,https://eastendprints.co.uk/categories/bauhaus-art-prints.html
13,abstract art,22200,22,95,$0.50,100,58,https://eastendprints.co.uk/categories/abstract-prints/
14,abstract artwork,22200,19,95,$0.50,100,52,https://eastendprints.co.uk/categories/abstract-prints/
15,posters and prints,18100,23,59,$2.44,100,66,https://eastendprints.co.uk/
16,movie poster,18100,52,38,$0.69,98,81,https://eastendprints.co.uk/categories/film-movie-art-prints
17,prints and poster,18100,33,41,$2.29,100,58,https://eastendprints.co.uk/
18,e17 london,18100,72,38,$0.87,1,40,https://eastendprints.co.uk/products/walthamstow-e17.html
19,print and posters,18100,43,38,$2.23,100,57,https://eastendprints.co.uk/
20,posters prints,18100,32,48,$2.44,100,55,https://eastendprints.co.uk/
21,online photography prints,18100,116,38,$2.39,100,65,https://eastendprints.co.uk/categories/photography
22,movie posters,18100,14,135,$0.69,98,79,https://eastendprints.co.uk/categories/film-movie-art-prints
23,black and white,14800,20,75,$0.72,5,58,https://eastendprints.co.uk/categories/black-and-white-art-prints
24,prints for wall,12100,1,3678,$0.83,100,82,https://eastendprints.co.uk/
25,wall print,12100,46,25,$0.89,100,59,https://eastendprints.co.uk/categories/london-art-prints.html
26,artwork prints,12100,1,3678,$1.30,100,73,https://eastendprints.co.uk/
27,art prints,12100,2,1960,$1.30,100,80,https://eastendprints.co.uk/
28,art printing,12100,61,25,$1.30,100,52,https://eastendprints.co.uk/
29,printable wall prints,12100,53,25,$0.83,100,25,https://eastendprints.co.uk/
30,wall art for living room,12100,16,136,$0.57,100,43,https://eastendprints.co.uk/categories/lounge-art-prints
31,wall prints printable,12100,54,25,$0.96,100,33,https://eastendprints.co.uk/
32,artwork printed,12100,19,67,$1.13,100,64,https://eastendprints.co.uk/
33,modern artwork,14800,21,52,$0.51,100,76,https://eastendprints.co.uk/
34,art print,12100,21,39,$1.13,100,74,https://eastendprints.co.uk/categories/inspiration/styles-and-trends/bright-and-fun.html
35,art wall for bedroom,6600,21,42,$0.44,100,41,https://eastendprints.co.uk/categories/bedroom-art-prints
36,bedroom wall art,9900,14,148,$0.50,100,39,https://eastendprints.co.uk/categories/bedroom-art-prints
37,beachwalk,9900,25,23,$0.58,12,28,https://eastendprints.co.uk/products/beach-walk.html
38,wall art for bedroom,4400,23,42,$0.45,100,45,https://eastendprints.co.uk/categories/bedroom-art-prints
39,painting frames near me,9900,68,20,$0.78,82,34,https://eastendprints.co.uk/blog/where-can-i-get-my-pictures-framed-in-east-london/
40,framed pictures near me,9900,24,26,$0.72,89,43,https://eastendprints.co.uk/
41,painting frame near me,9900,99,20,$0.78,88,63,https://eastendprints.co.uk/blog/where-can-i-get-my-pictures-framed-in-east-london/
42,wall art for the bathroom,8100,2,1312,$0.38,100,40,https://eastendprints.co.uk/categories/bathroom-art-prints
43,japan art,8100,1,2462,$0.74,100,51,https://eastendprints.co.uk/categories/japan-inspired-art-prints.html
44,kitchen print,6600,9,207,$0.57,100,43,https://eastendprints.co.uk/categories/kitchen-art-prints
45,bathroom prints,8100,2,1312,$0.41,100,28,https://eastendprints.co.uk/categories/bathroom-art-prints
46,japanese artworks,8100,2,1312,$0.73,100,50,https://eastendprints.co.uk/categories/japan-inspired-art-prints.html
47,artwork japanese,8100,1,2462,$0.74,100,40,https://eastendprints.co.uk/categories/japan-inspired-art-prints.html
48,bathtub print,8100,30,19,$0.41,100,33,https://eastendprints.co.uk/categories/bathroom-art-prints
49,art japan,8100,9,159,$0.73,100,59,https://eastendprints.co.uk/categories/japan-inspired-art-prints.html
50,art for the bathroom wall,8100,17,47,$0.39,100,40,https://eastendprints.co.uk/categories/bathroom-art-prints
51,picture and prints,8100,72,17,$2.37,100,70,https://eastendprints.co.uk/
52,kitchen prints,8100,2,1312,$0.45,100,46,https://eastendprints.co.uk/categories/kitchen-art-prints
53,triptych,8100,8,533,$0.96,28,53,https://eastendprints.co.uk/categories/triptychs-diptychs-sets
54,posters and frames,9900,22,34,$0.96,100,43,https://eastendprints.co.uk/
55,the great wave off kanagawa,8100,31,17,$0.51,100,55,https://eastendprints.co.uk/products/the-great-wave-off-kanagawa.html
56,pictures and prints,8100,14,73,$2.18,100,77,https://eastendprints.co.uk/
57,artwork for the kitchen wall,8100,4,788,$0.39,100,32,https://eastendprints.co.uk/categories/kitchen-art-prints
58,paintings for kitchen wall,8100,2,1312,$0.39,100,23,https://eastendprints.co.uk/categories/kitchen-art-prints
59,japanese art,8100,7,533,$0.74,100,49,https://eastendprints.co.uk/categories/japan-inspired-art-prints.html
60,wall art for kitchen wall,8100,6,788,$0.41,100,46,https://eastendprints.co.uk/categories/kitchen-art-prints
61,kitchen art wall decor,8100,18,45,$0.39,100,49,https://eastendprints.co.uk/categories/kitchen-art-prints
62,print for the kitchen,8100,3,788,$0.54,100,33,https://eastendprints.co.uk/categories/kitchen-art-prints
63,art for kitchen walls,8100,2,2462,$0.41,100,20,https://eastendprints.co.uk/categories/kitchen-art-prints
64,wall paintings for kitchen,8100,9,207,$0.41,100,31,https://eastendprints.co.uk/categories/kitchen-art-prints
65,framed poster,8100,11,121,$0.95,100,43,https://eastendprints.co.uk/
66,framed posters,9900,3,788,$0.96,100,49,https://eastendprints.co.uk/
67,kitchen wall art,8100,3,788,$0.39,100,38,https://eastendprints.co.uk/categories/kitchen-art-prints
68,bathroom wall art,8100,16,60,$0.38,100,16,https://eastendprints.co.uk/categories/bathroom-art-prints
69,prints for kitchen,8100,3,788,$0.45,100,38,https://eastendprints.co.uk/categories/kitchen-art-prints
70,posters of the uk,6600,54,13,$0.66,100,30,https://eastendprints.co.uk/categories/travel-art-prints
71,posters uk,6600,15,36,$0.58,100,78,https://eastendprints.co.uk/
72,books and prints,6600,70,13,$3.80,100,45,https://eastendprints.co.uk/
73,film posters,6600,12,74,$0.55,99,71,https://eastendprints.co.uk/categories/film-movie-art-prints
74,pink painting,6600,3,1069,$0.33,100,33,https://eastendprints.co.uk/categories/pink-art-prints
75,uk posters,6600,20,28,$0.58,100,77,https://eastendprints.co.uk/
76,film poster,6600,25,17,$0.55,99,81,https://eastendprints.co.uk/categories/film-movie-art-prints
77,hiroshige ando,6600,65,13,$0.63,46,58,https://eastendprints.co.uk/categories/artists/artists-g-l/hiroshige
78,ando hiroshige,6600,77,13,$0.63,46,49,https://eastendprints.co.uk/categories/artists/artists-g-l/hiroshige
79,picture print,6600,90,13,$2.38,100,74,https://eastendprints.co.uk/categories/photography
80,blue painting,6600,2,2006,$0.34,100,58,https://eastendprints.co.uk/categories/blue-art-prints
81,artwork for living room,6600,16,31,$0.82,100,50,https://eastendprints.co.uk/categories/lounge-art-prints
82,bathroom artwork,5400,2,874,$0.48,100,31,https://eastendprints.co.uk/categories/bathroom-art-prints
83,frames prints,5400,5,253,$2.16,100,43,https://eastendprints.co.uk/
84,abstract art paintings,5400,59,11,$0.40,100,53,https://eastendprints.co.uk/categories/abstract-prints/
85,abstract art painting,5400,66,11,$0.51,100,51,https://eastendprints.co.uk/categories/abstract-prints/
86,living room art,5400,10,138,$0.61,100,41,https://eastendprints.co.uk/categories/lounge-art-prints
87,pictures for walls,5400,45,11,$0.71,100,61,https://eastendprints.co.uk/
88,large wall art,5400,76,11,$0.58,100,41,https://eastendprints.co.uk/
89,framed prints,5400,4,525,$1.76,100,35,https://eastendprints.co.uk/
90,art for lounge room,5400,1,1641,$0.68,100,38,https://eastendprints.co.uk/categories/lounge-art-prints
91,musician poster,5400,10,81,$0.62,100,28,https://eastendprints.co.uk/categories/music-art-prints.html
