No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
1,canvases,2740000,13,30962,$3.14,3,53,https://www.posterlounge.co.uk/wall-art/canvas-prints/
2,sunsets,201000,11,2475,$0.08,7,64,https://www.posterlounge.co.uk/wall-art/posters/sunrises-and-sunsets/
3,painting,110000,6,17820,$0.48,72,75,https://www.posterlounge.co.uk/wall-art/painting/
4,a star signs,90500,40,190,$0.12,44,42,https://www.posterlounge.co.uk/wall-art/posters/zodiac-signs/
5,frida kahlo artist,90500,5,8805,$0.47,28,71,https://www.posterlounge.co.uk/wall-art/frida-kahlo/
6,frida kahlo,90500,69,190,$0.47,28,74,https://www.posterlounge.co.uk/wall-art/frida-kahlo/
7,dolomite alps,74000,94,155,$1.64,6,59,https://www.posterlounge.co.uk/wall-art/dolomite-alps/
8,art,74000,11,1457,$0.86,72,89,https://www.posterlounge.co.uk/wall-art/
9,prints,74000,10,1457,$1.90,100,84,https://www.posterlounge.co.uk/
10,wall artwork,49500,25,212,$0.62,100,64,https://www.posterlounge.co.uk/
11,prints and canvases,49500,2,8019,$4.41,100,51,https://www.posterlounge.co.uk/wall-art/canvas-prints/
12,canvas printing,49500,20,163,$4.71,100,79,https://www.posterlounge.co.uk/wall-art/canvas-prints/
13,wall art,49500,4,3262,$0.63,100,63,https://www.posterlounge.co.uk/wall-art/
14,printed canvas prints,49500,6,2321,$4.41,100,78,https://www.posterlounge.co.uk/wall-art/canvas-prints/
15,art for walls,49500,3,4816,$0.63,100,62,https://www.posterlounge.co.uk/wall-art/
16,canvas prints,49500,5,2321,$4.41,100,69,https://www.posterlounge.co.uk/wall-art/canvas-prints/
17,canvas and print,49500,12,975,$3.99,100,67,https://www.posterlounge.co.uk/wall-art/canvas-prints/
18,art at wall,49500,7,1673,$0.63,100,67,https://www.posterlounge.co.uk/wall-art/
19,canvas and prints,49500,2,8019,$4.41,100,61,https://www.posterlounge.co.uk/wall-art/canvas-prints/
20,wall with artwork,49500,47,103,$0.67,100,72,https://www.posterlounge.co.uk/wall-art/
21,william morris,49500,52,103,$0.41,74,82,https://www.posterlounge.co.uk/artists/william-morris/
22,posters,49500,5,2321,$1.05,100,62,https://www.posterlounge.co.uk/wall-art/posters/bedroom/
23,morris william,49500,77,103,$0.53,73,82,https://www.posterlounge.co.uk/artists/william-morris/
24,poster,49500,7,1673,$0.97,100,73,https://www.posterlounge.co.uk/wall-art/posters/
25,prints and canvas,49500,5,2321,$4.71,100,67,https://www.posterlounge.co.uk/wall-art/canvas-prints/
26,canvases prints,49500,7,1673,$3.99,100,57,https://www.posterlounge.co.uk/wall-art/canvas-prints/
27,canvas print,49500,23,118,$4.41,100,79,https://www.posterlounge.co.uk/wall-art/canvas-prints/
28,skull,49500,9,1673,$0.20,50,51,https://www.posterlounge.co.uk/wall-art/posters/skulls/
29,poster poster,49500,2,15048,$1.05,100,63,https://www.posterlounge.co.uk/wall-art/posters/
30,wall art for wall,49500,17,277,$0.80,100,56,https://www.posterlounge.co.uk/wall-art/colourful/
31,pop art,40500,10,797,$0.50,28,78,https://www.posterlounge.co.uk/wall-art/pop-art/
32,rooster,33100,38,85,$1.69,15,72,https://www.posterlounge.co.uk/p/597810.html
33,leopard prints,33100,4,3220,$0.41,100,30,https://www.posterlounge.co.uk/wall-art/canvas-prints/leopards/
34,leopard print,33100,95,69,$0.47,100,50,https://www.posterlounge.co.uk/wall-art/posters/leopards/
35,whistler's,33100,114,69,$2.14,7,36,https://www.posterlounge.co.uk/artists/james-abbott-mcneill-whistler/
36,art deco,33100,5,3220,$0.38,19,70,https://www.posterlounge.co.uk/wall-art/posters/art-deco/
37,deco art deco,33100,10,1118,$0.35,19,57,https://www.posterlounge.co.uk/wall-art/posters/art-deco/
38,artwork gallery,27100,72,56,$1.38,14,81,https://www.posterlounge.co.uk/wall-art/gallery-prints/
39,colourful rainbow,27100,16,203,$0.09,100,34,https://www.posterlounge.co.uk/wall-art/rainbows/
40,monet,27100,88,56,$0.23,37,76,https://www.posterlounge.co.uk/artists/claude-monet/
41,starry night paint,27100,80,56,$0.14,100,22,https://www.posterlounge.co.uk/p/474874.html
42,claude monet,27100,68,56,$0.18,7,60,https://www.posterlounge.co.uk/artists/claude-monet/
43,art nouveau,27100,12,406,$0.74,8,84,https://www.posterlounge.co.uk/wall-art/art-nouveau/
44,abstract art,22200,20,113,$0.50,100,58,https://www.posterlounge.co.uk/wall-art/abstract-art/
45,mandalas,22200,25,59,$0.22,44,79,https://www.posterlounge.co.uk/wall-art/mandalas/
46,henri matisse,22200,35,46,$0.32,23,73,https://www.posterlounge.co.uk/artists/henri-matisse/
47,bathroom painting,22200,76,46,$0.31,100,50,https://www.posterlounge.co.uk/wall-art/bathroom/
